id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam
2417441013.0,6.0,0.0,15.0,296.0,56.07,50.728,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'StandingSave', 'Angle', 'PassEndX', 'PassEndY']","[91, 117, 30, 35, 37, 216, 218]",True,394933.0,43.575,53.244,,,,,,,,,,8.0,Matheus Nunes,False,Portimonense,Sporting
,,0.0,15.0,,43.575,53.244,,,Carry,,,,,283978.0,39.9,56.168,,,,,,,,,,2.0,Matheus Reis,False,Portimonense,Sporting
2417441053.0,7.0,0.0,20.0,296.0,39.9,56.168,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Zone', 'PassEndY', 'StandingSave', 'Length']","[91, 117, 30, 36, 38, 216, 218]",True,283978.0,46.935,46.92,,,,,,,,,,2.0,Matheus Reis,False,Portimonense,Sporting
2417441067.0,8.0,0.0,20.0,296.0,46.935,46.92,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Zone', 'Length', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 37, 216, 218]",True,322774.0,42.839999999999996,53.992000000000004,,,,,,,,,,6.0,João Palhinha,False,Portimonense,Sporting
2417441099.0,9.0,0.0,22.0,296.0,42.839999999999996,53.992000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Length', 'Zone', 'Angle', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,394933.0,36.330000000000005,40.324,,,,,,,,,,8.0,Matheus Nunes,False,Portimonense,Sporting
2417441145.0,10.0,0.0,24.0,296.0,36.225,39.304,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Length', 'Zone', 'PassEndY', 'PassEndX']","[91, 117, 30, 36, 38, 216, 218]",True,71268.0,39.06,22.508000000000003,,,,,,,,,,4.0,Sebastián Coates,False,Portimonense,Sporting
2417441219.0,11.0,0.0,28.0,296.0,39.06,22.508000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndY', 'Angle', 'PassEndX', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,395992.0,44.1,26.996000000000002,,,,,,,,,,25.0,Gonçalo Inácio,False,Portimonense,Sporting
,,0.0,28.0,,44.1,26.996000000000002,,,Carry,,,,,322774.0,53.760000000000005,32.980000000000004,,,,,,,,,,6.0,João Palhinha,True,Portimonense,Sporting
2417441271.0,12.0,0.0,33.0,296.0,53.760000000000005,32.980000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndX', 'PassEndY', 'StandingSave', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,322774.0,49.35,55.148,,,,,,,,,,6.0,João Palhinha,False,Portimonense,Sporting
,,0.0,33.0,,49.35,55.148,,,Carry,,,,,283978.0,54.495,60.52,,,,,,,,,,2.0,Matheus Reis,False,Portimonense,Sporting
2417441317.0,13.0,0.0,37.0,296.0,54.495,60.52,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Length', 'Zone', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 35, 38, 216, 218]",True,283978.0,54.285000000000004,47.6,,,,,,,,,,2.0,Matheus Reis,False,Portimonense,Sporting
,,0.0,37.0,,54.285000000000004,47.6,,,Carry,,,,,322774.0,54.18000000000001,45.900000000000006,,,,,,,,,,6.0,João Palhinha,False,Portimonense,Sporting
2417441381.0,14.0,0.0,40.0,296.0,54.18000000000001,45.900000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Angle', 'PassEndY', 'PassEndX', 'Zone']","[91, 119, 117, 30, 36, 38, 216, 218]",True,322774.0,55.86000000000001,38.556000000000004,,,,,,,,,,6.0,João Palhinha,False,Portimonense,Sporting
,,0.0,40.0,,55.86000000000001,38.556000000000004,,,Carry,,,,,394933.0,56.80500000000001,42.568000000000005,,,,,,,,,,8.0,Matheus Nunes,False,Portimonense,Sporting
2417441413.0,15.0,0.0,45.0,296.0,56.80500000000001,42.568000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'Length', 'PassEndX', 'StandingSave', 'PassEndY']","[91, 119, 117, 30, 36, 37, 216, 218]",True,394933.0,62.265,60.248,,,,,,,,,,8.0,Matheus Nunes,False,Portimonense,Sporting
