id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,shirtNo,name,progressive,homeTeam,awayTeam
,,0.0,21.0,,32.655,36.856,,,Carry,,,,,71268.0,33.705000000000005,29.512,,,,,,,,,,4.0,Sebastián Coates,False,Vizela,Sporting
2374330783.0,14.0,0.0,26.0,296.0,33.705000000000005,29.512,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndX', 'PassEndY', 'Chipped', 'Zone']","[91, 117, 30, 124, 36, 38, 216, 218]",True,71268.0,44.730000000000004,2.108,,,,,,,,,,4.0,Sebastián Coates,False,Vizela,Sporting
,,0.0,26.0,,44.730000000000004,2.108,,,Carry,,,,,109474.0,41.055,4.42,,,,,,,,,,47.0,Ricardo Esgaio,False,Vizela,Sporting
2374330791.0,15.0,0.0,33.0,296.0,41.055,4.42,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,109474.0,29.400000000000002,5.44,,,,,,,,,,47.0,Ricardo Esgaio,False,Vizela,Sporting
,,0.0,33.0,,29.400000000000002,5.44,,,Carry,,,,,395992.0,29.715000000000003,7.208,,,,,,,,,,25.0,Gonçalo Inácio,False,Vizela,Sporting
2374330817.0,16.0,0.0,35.0,296.0,29.715000000000003,7.208,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'PassEndY', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,395992.0,20.16,29.852,,,,,,,,,,25.0,Gonçalo Inácio,False,Vizela,Sporting
,,0.0,35.0,,20.16,29.852,,,Carry,,,,,71268.0,19.740000000000002,31.688000000000002,,,,,,,,,,4.0,Sebastián Coates,False,Vizela,Sporting
2374330823.0,17.0,0.0,41.0,296.0,19.740000000000002,31.688000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'PassEndX', 'Zone']","[91, 117, 30, 36, 37, 215, 218]",True,71268.0,20.685,46.376000000000005,,,,,,,,,,4.0,Sebastián Coates,False,Vizela,Sporting
2374330835.0,18.0,0.0,43.0,296.0,20.685,47.124,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'Zone', 'PassEndX', 'PassEndY']","[91, 117, 30, 36, 37, 215, 218]",True,283978.0,29.925,62.15200000000001,,,,,,,,,,2.0,Matheus Reis,False,Vizela,Sporting
,,0.0,43.0,,29.925,62.15200000000001,,,Carry,,,,,296364.0,31.5,61.404,,,,,,,,,,11.0,Nuno Santos,False,Vizela,Sporting
