id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,firstName,lastName,name,homeTeam,awayTeam,round
2419893077,AttemptSaved,6403,697189,Hélder,96.4122807008,36.592501163482666,44,,False,True,98.0526315785,36.51625,34.22875,1.2585263096000001,0.1539733111858368,0.6578,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.9394841269841275, 'y': 0.3329434681481482, 'zoomRatio': 1}",,Hélder,Pacos de Ferreira,Pacos de Ferreira,Benfica,34
2419893165,AttemptSaved,9772,1072317,Tiago Gouveia,83.16067789353444,49.886116785874265,44,,False,True,102.629310345,36.5925,32.779999999999994,0.4879999976,0.059434354305267334,0.0689,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.3227513227513243, 'y': 0.12910052846560846, 'zoomRatio': 1}",Tiago,Gouveia,Benfica,Pacos de Ferreira,Benfica,34
2419893193,Goal,9772,1192386,Henrique Araujo,101.58620834375414,36.89749941825867,44,,False,True,,,35.9825,0.40452631380000004,0.6853272318840027,0.9296,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.47552910052910013, 'y': 0.10701754333333334, 'zoomRatio': 1}",Henrique,Araujo,Benfica,Pacos de Ferreira,Benfica,34
2419896939,AttemptSaved,9772,1072317,Tiago Gouveia,95.73684504877859,50.93707220037427,46,,False,True,104.4310344828,36.05875,35.9825,0.1219999994,0.06365874409675598,0.0952,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.47552910052910013, 'y': 0.032275132116402115, 'zoomRatio': 1}",Tiago,Gouveia,Benfica,Pacos de Ferreira,Benfica,34
2419897887,AttemptSaved,9772,1192386,Henrique Araujo,96.2193011892786,45.05172081008713,50,,True,True,97.7631578942,43.3701910778,35.75375,1.2199999940000001,0.07675087451934814,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.5360449735449745, 'y': 0.32275132116402117, 'zoomRatio': 1}",Henrique,Araujo,Benfica,Pacos de Ferreira,Benfica,34
2419898449,AttemptSaved,9772,1187283,Tomas Araujo,97.9561388780607,38.368333335,52,,True,True,99.3070175438,37.708,33.695,1.2199999940000001,0.05938237905502319,,Header,FromCorner,SecondHalf,False,"{'x': 1.0806878306878307, 'y': 0.32275132116402117, 'zoomRatio': 1}",Tomas,Araujo,Benfica,Pacos de Ferreira,Benfica,34
2419898453,Miss,9772,1192386,Henrique Araujo,100.16379455075413,29.799762544232447,52,,False,False,102.06034482780001,33.61875,42.8709375,0.9824210478000001,0.19116073846817017,,Header,FromCorner,SecondHalf,False,"{'x': 0, 'y': 0.11074602293162367, 'zoomRatio': 0.4261105435586714}",Henrique,Araujo,Benfica,Pacos de Ferreira,Benfica,34
2419898823,AttemptSaved,9772,1072317,Tiago Gouveia,93.5,57.04606834602171,55,,False,True,104.051724138,36.51625,35.83,0.20547368320000003,0.03923523426055908,0.0731,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.5158730158730164, 'y': 0.05435811724867726, 'zoomRatio': 1}",Tiago,Gouveia,Benfica,Pacos de Ferreira,Benfica,34
2419899695,AttemptSaved,9772,1192386,Henrique Araujo,97.2807032260393,26.69,59,,True,True,98.6315789471,27.698571428000005,31.48375,1.2199999940000001,0.02295061945915222,,Header,FromCorner,SecondHalf,False,"{'x': 1.665674603174603, 'y': 0.32275132116402117, 'zoomRatio': 1}",Henrique,Araujo,Benfica,Pacos de Ferreira,Benfica,34
2419899809,Miss,9772,1192386,Henrique Araujo,100.92241089949172,28.454998716535112,60,,False,False,,,28.539047618000005,5.1842758704000005,0.24509397149085999,,RightFoot,FromCorner,SecondHalf,False,"{'x': 1.7133923559785704, 'y': 0.6772486772486772, 'zoomRatio': 0.4938008825140857}",Henrique,Araujo,Benfica,Pacos de Ferreira,Benfica,34
2419901671,Miss,9772,1050831,Paulo Bernardo,92.0,37.94809524,70,,False,False,,,40.721666666999994,0.3595789456,0.07655757665634155,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.1102230246251565e-16, 'y': 0.053495503929903564, 'zoomRatio': 0.5623605256353905}",Paulo,Bernardo,Benfica,Pacos de Ferreira,Benfica,34
2419902329,AttemptSaved,6403,1030128,Lucas Silva,99.2105277880393,45.68229512787427,75,,True,True,100.3534482762,43.16,33.00875,1.2199999940000001,0.03099733591079712,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1.26223544973545, 'y': 0.32275132116402117, 'zoomRatio': 1}",Lucas,Silva,Pacos de Ferreira,Pacos de Ferreira,Benfica,34
2419902563,AttemptSaved,6403,453696,Denilson,92.80000305175781,42.7553125,76,,False,True,97.7631578942,39.124761905999996,33.8475,0.9374736796,0.21920844912528992,0.1695,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1.0403439153439162, 'y': 0.24800890994708993, 'zoomRatio': 1}",,Denilson,Pacos de Ferreira,Pacos de Ferreira,Benfica,34
2419903271,Miss,6403,453696,Denilson,94.6754356503214,35.98249883651734,81,,False,False,,,31.026249999999997,5.670896561599999,0.029284805059432983,,Header,FromCorner,SecondHalf,False,"{'x': 1.3551410666887618, 'y': 0.6772486772486772, 'zoomRatio': 0.45142773672417613}",,Denilson,Pacos de Ferreira,Pacos de Ferreira,Benfica,34
2419903745,AttemptSaved,9772,1342754,Diego Moreira,100.92241089949172,21.757198524987132,86,,False,True,104.1465517242,30.568749999999998,32.779999999999994,0.28252631440000003,0.13038843870162964,0.0783,RightFoot,FastBreak,SecondHalf,False,"{'x': 1.3227513227513243, 'y': 0.07474241121693122, 'zoomRatio': 1}",Diego,Moreira,Benfica,Pacos de Ferreira,Benfica,34
2419904277,AttemptSaved,9772,643690,Roman Yaremchuk,93.9000015258789,22.948279189912867,90,2.0,False,True,98.7280701752,26.6321875,34.1525,1.1814736784,0.3315712511539459,0.1917,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.9596560846560838, 'y': 0.31255917417989415, 'zoomRatio': 1}",Roman,Yaremchuk,Benfica,Pacos de Ferreira,Benfica,34
2419904447,Miss,6403,1289378,Luis Bastos,74.48883667206556,38.70452509346489,90,4.0,False,False,,,40.30142857199999,5.1842758704000005,0.016386836767196655,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.17681190741982256, 'y': 0.6772486772486772, 'zoomRatio': 0.4938008825140857}",Luis,Bastos,Pacos de Ferreira,Pacos de Ferreira,Benfica,34
2420225489,Miss,158085,1248736,Antony,76.40339634153443,37.744,8,,False,False,,,29.547619046,0.8925263114,0.03399813175201416,,RightFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.20046045489395029, 'zoomRatio': 0.8489839569105302}",,Antony,Arouca,Arouca,Belenenses SAD,34
2420226621,AttemptSaved,158085,1185329,Tiago Araujo,94.0,48.554905525087136,8,,False,True,99.01754385950001,42.00375,34.0,0.160526315,0.1551852524280548,0.0237,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 1, 'y': 0.042467279100529096, 'zoomRatio': 1}",Tiago,Araujo,Arouca,Arouca,Belenenses SAD,34
2420243903,AttemptSaved,9807,707831,Francisco Teixeira,95.73684504877859,46.1727388498,19,,False,True,103.9568965518,35.3725,36.97375,0.5265263132,0.03733411431312561,0.1519,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.21329365079365015, 'y': 0.13929267544973545, 'zoomRatio': 1}",Francisco,Teixeira,Belenenses SAD,Arouca,Belenenses SAD,34
2420248839,AttemptSaved,158085,855623,Oday Dabbagh,75.61505026406556,25.186875882148744,23,,False,True,103.19827586219999,32.779999999999994,36.135000000000005,0.2439999988,0.012112200260162354,0.1791,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.4351851851851839, 'y': 0.06455026423280423, 'zoomRatio': 1}",Oday,Dabbagh,Arouca,Arouca,Belenenses SAD,34
2420251891,AttemptSaved,9807,570835,Pedro Nuno,86.9970571851241,35.143750000000004,27,,True,True,95.35087719170001,33.466249999999995,31.4075,1.2199999940000001,0.15327802300453186,,RightFoot,FreeKick,FirstHalf,False,"{'x': 1.6858465608465611, 'y': 0.32275132116402117, 'zoomRatio': 1}",Pedro,Nuno,Belenenses SAD,Arouca,Belenenses SAD,34
2420253413,AttemptSaved,158085,1248736,Antony,91.4000015258789,37.73200018310547,28,,True,True,104.1465517242,32.3225,31.941249999999997,1.2199999940000001,0.0788276195526123,,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 1.544642857142858, 'y': 0.32275132116402117, 'zoomRatio': 1}",,Antony,Arouca,Arouca,Belenenses SAD,34
2420255155,Miss,158085,919919,Andre,92.5999984741211,45.962545628725735,29,,False,False,,,25.8228125,0.802631575,0.05466151237487793,,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.0981549677074177, 'zoomRatio': 0.4622616272404172}",,Andre,Arouca,Arouca,Belenenses SAD,34
2420264517,Miss,9807,707831,Francisco Teixeira,92.9000015258789,32.93249883651733,36,,False,False,101.9655172416,37.672,41.141904761999996,0.44305262940000006,7.301782170543447e-05,,LeftFoot,RegularPlay,FirstHalf,False,"{'x': -2.220446049250313e-16, 'y': 0.062035639533777415, 'zoomRatio': 0.5292705694021971}",Francisco,Teixeira,Belenenses SAD,Arouca,Belenenses SAD,34
2420277073,Miss,9807,707831,Francisco Teixeira,101.30172269124587,26.16968661785126,45,1.0,False,False,,,27.950714285,0.6228421022,0.037616729736328125,,Header,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.10296126378285976, 'zoomRatio': 0.6248671625192037}",Francisco,Teixeira,Belenenses SAD,Arouca,Belenenses SAD,34
2420279757,AttemptSaved,158085,500911,Thales,95.2543889082786,28.034760621535114,45,3.0,False,True,104.525862069,31.559999999999995,35.83,0.8925263114,0.022589504718780518,0.1135,Header,FromCorner,FirstHalf,False,"{'x': 0.5158730158730164, 'y': 0.2361180717989418, 'zoomRatio': 1}",,Thales,Arouca,Arouca,Belenenses SAD,34
2420293435,AttemptSaved,158085,263707,Alan Ruiz,90.0999984741211,16.011975057843564,46,,True,True,91.1,19.024713378199998,36.21125,1.2199999940000001,0.02186676859855652,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.41501322751322767, 'y': 0.32275132116402117, 'zoomRatio': 1}",Alan,Ruiz,Arouca,Arouca,Belenenses SAD,34
2420297713,AttemptSaved,158085,470541,Leandro Silva,81.02087035026886,51.21732270122574,52,,False,True,103.19827586219999,35.220000000000006,33.2375,1.3034736778000002,0.02947700023651123,0.0436,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.2017195767195774, 'y': 0.34483430629629636, 'zoomRatio': 1}",Leandro,Silva,Arouca,Arouca,Belenenses SAD,34
2420298223,AttemptSaved,158085,816222,Tiago Esgaio,93.80000305175781,37.708000091552734,53,,True,True,97.0877192975,37.431250000000006,36.21125,1.2199999940000001,0.05750355124473572,,LeftFoot,FromCorner,SecondHalf,False,"{'x': 0.41501322751322767, 'y': 0.32275132116402117, 'zoomRatio': 1}",Tiago,Esgaio,Arouca,Arouca,Belenenses SAD,34
