id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam
2375686295.0,42.0,3.0,14.0,251.0,45.885000000000005,60.31600000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,130450.0,,,,,,,,,,,,6.0,Mansur,,Moreirense,Santa Clara
2375686351.0,43.0,3.0,16.0,251.0,49.14,39.508,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,101748.0,,,,,,,,,,,,8.0,Anderson Carvalho,,Moreirense,Santa Clara
2375686389.0,44.0,3.0,16.0,251.0,49.14,39.508,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'StandingSave', 'Length', 'PassEndX', 'Angle', 'Zone']","[91, 118, 120, 29, 35, 38, 216, 218]",True,101748.0,43.89,35.224000000000004,,,,,,,,,,8.0,Anderson Carvalho,False,Moreirense,Santa Clara
2375686415.0,30.0,3.0,18.0,108.0,58.065,32.572,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,135347.0,,,,,,,,,,,,,,,Moreirense,Santa Clara
2375686477.0,31.0,3.0,19.0,108.0,57.96000000000001,34.612,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'PassEndX', 'StandingSave', 'Length', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,135347.0,65.52,39.57600000000001,,,,,,,,,,,,False,Moreirense,Santa Clara
2375686561.0,32.0,3.0,20.0,108.0,66.36,39.984,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndY', 'Zone', 'Angle', 'PassEndX']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,325220.0,70.665,59.43200000000001,,,,,,,,,,,,False,Moreirense,Santa Clara
2375686601.0,33.0,3.0,24.0,108.0,70.35000000000001,55.89600000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['StandingSave', 'OppositeRelatedEvent', 'Zone', 'Offensive']","[91, 54]",True,392742.0,,,,,,,,,,,,,,,Moreirense,Santa Clara
2375686567.0,45.0,3.0,24.0,251.0,34.65,12.104000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'Defensive']",[55],False,279531.0,,,,,,,,,,,,23.0,Crysan,,Moreirense,Santa Clara
2375686611.0,34.0,3.0,24.0,108.0,73.08,58.412000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,392742.0,,,,,,,,,,,,,,,Moreirense,Santa Clara
2376598227.0,795.0,3.0,25.0,251.0,35.805,19.788000000000004,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,101748.0,,,,,,,,,,,,8.0,Anderson Carvalho,,Moreirense,Santa Clara
2375686741.0,46.0,3.0,27.0,251.0,37.17,19.992,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'StandingSave', 'Length', 'Angle', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,101748.0,38.535000000000004,39.372,,,,,,,,,,8.0,Anderson Carvalho,False,Moreirense,Santa Clara
2375686763.0,47.0,3.0,29.0,251.0,38.535000000000004,39.57600000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Angle', 'PassEndY', 'Length', 'PassEndX', 'Zone']","[91, 118, 120, 29, 36, 38, 216, 218]",True,279478.0,47.25,30.668000000000003,,,,,,,,,,10.0,Lincoln,False,Moreirense,Santa Clara
2375686745.0,35.0,3.0,29.0,108.0,61.95,43.316,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,370018.0,,,,,,,,,,,,,,,Moreirense,Santa Clara
2375686885.0,36.0,3.0,32.0,108.0,62.79,42.908,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'StandingSave', 'PassEndX', 'PassEndY', 'Angle']","[91, 119, 117, 30, 36, 38, 216, 218]",True,370018.0,65.31,24.14,,,,,,,,,,,,False,Moreirense,Santa Clara
2375686911.0,37.0,3.0,33.0,108.0,64.05,23.664,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'PassEndX', 'Zone', 'Length', 'Angle']","[91, 119, 117, 30, 35, 37, 216, 218]",True,318686.0,59.64,30.872,,,,,,,,,,,,False,Moreirense,Santa Clara
2375687007.0,38.0,3.0,35.0,108.0,59.64,30.872,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Zone', 'Length', 'PassEndX', 'PassEndY']","[91, 119, 117, 30, 35, 37, 216, 218]",True,421984.0,58.905,39.372,,,,,,,,,,,,False,Moreirense,Santa Clara
