id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam
2375681655.0,15.0,0.0,34.0,251.0,68.04,8.568,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndY', 'PassEndX', 'Length', 'StandingSave']","[91, 117, 30, 35, 37, 216, 218]",True,274646.0,49.14,12.444,,,,,,,,,,17.0,Cristian Tassano,False,Moreirense,Santa Clara
2375681717.0,16.0,0.0,36.0,251.0,49.035000000000004,13.668000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Longball', 'Length', 'StandingSave', 'PassEndY', 'Zone', 'PassEndX']","[91, 117, 127, 36, 37, 216, 218]",True,422199.0,49.35,48.620000000000005,,,,,,,,,,4.0,Kennedy Boateng,False,Moreirense,Santa Clara
2375681857.0,17.0,0.0,38.0,251.0,48.93000000000001,49.232000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'PassEndY', 'Angle', 'Zone', 'StandingSave']","[91, 119, 117, 30, 36, 37, 216, 218]",True,130450.0,66.78,64.19200000000001,,,,,,,,,,6.0,Mansur,False,Moreirense,Santa Clara
,,0.0,38.0,,66.78,64.19200000000001,,,Carry,,,,,279478.0,69.615,65.48400000000001,,,,,,,,,,10.0,Lincoln,False,Moreirense,Santa Clara
2375681927.0,18.0,0.0,43.0,251.0,69.615,65.48400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'StandingSave', 'PassEndX', 'Zone', 'PassEndY', 'Chipped']","[91, 119, 117, 30, 124, 205, 36, 38, 217, 218]",True,279478.0,85.575,38.89600000000001,,,,,,,,,,10.0,Lincoln,True,Moreirense,Santa Clara
2375681945.0,19.0,0.0,45.0,251.0,85.575,38.89600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'LayOff', 'Angle', 'PassEndX', 'Length', 'PassEndY']","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,351562.0,82.635,24.344,,,,,,,,,,77.0,Rui Costa,False,Moreirense,Santa Clara
2375681997.0,20.0,0.0,46.0,251.0,82.635,24.344,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Length', 'PassEndX', 'StandingSave', 'Zone']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,279531.0,80.955,33.728,,,,,,,,,,23.0,Crysan,False,Moreirense,Santa Clara
,,0.0,46.0,,80.955,33.728,,,Carry,,,,,351562.0,80.22000000000001,30.6,,,,,,,,,,77.0,Rui Costa,False,Moreirense,Santa Clara
2375682069.0,21.0,0.0,48.0,251.0,80.22000000000001,30.6,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndX', 'PassEndY', 'Zone', 'Angle', 'ShotAssist', 'KeyPass']","[91, 119, 117, 30, 123, 205, 40, 46, 35, 37, 217, 218]",True,351562.0,74.235,34.476000000000006,,,,,,,,,,77.0,Rui Costa,False,Moreirense,Santa Clara
2375682075.0,22.0,0.0,50.0,251.0,73.92000000000002,35.224000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",MissedShots,Successful,"['RelatedEventId', 'Zone', 'RegularPlay', 'StandingSave', 'MissHigh', 'GoalMouthZ', 'Assisted', 'RightFoot', 'OutOfBoxCentre', 'GoalMouthY']","[91, 7, 10, 2, 3, 12]",True,101748.0,,,21.0,351562.0,62.5,50.3,True,,,,,8.0,Anderson Carvalho,,Moreirense,Santa Clara
