id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam
2373744863.0,2.0,0.0,0.0,122.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Boavista,Gil Vicente
2373744889.0,2.0,0.0,0.0,290.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Boavista,Gil Vicente
2373744975.0,3.0,0.0,0.0,122.0,52.29,34.272,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndX', 'Zone', 'PassEndY']","[91, 117, 30, 35, 38, 216, 218]",True,404198.0,37.38,33.592,,,,,,,,,,,,False,Boavista,Gil Vicente
2373876967.0,972.0,0.0,0.0,290.0,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Boavista,Gil Vicente
2373877023.0,777.0,0.0,0.0,122.0,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Boavista,Gil Vicente
2373670971.0,1.0,0.0,0.0,122.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'JerseyNumber', 'CaptainPlayerId', 'TeamPlayerFormation', 'InvolvedPlayers', 'TeamFormation']",[],False,,,,,,,,,,,,,,,,Boavista,Gil Vicente
2373671889.0,1.0,0.0,0.0,290.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'TeamPlayerFormation', 'PlayerPosition', 'TeamFormation', 'JerseyNumber', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,,Boavista,Gil Vicente
2373745025.0,4.0,0.0,3.0,122.0,36.96000000000001,33.524,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Zone', 'Length', 'Angle']","[91, 117, 30, 36, 38, 216, 218]",True,318429.0,43.365,4.216,,,,,,,,,,,,False,Boavista,Gil Vicente
2373745095.0,5.0,0.0,5.0,122.0,43.050000000000004,6.256,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Zone', 'Length', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,400993.0,26.775000000000002,12.376000000000001,,,,,,,,,,,,False,Boavista,Gil Vicente
2373745145.0,6.0,0.0,8.0,122.0,26.775000000000002,12.376000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'PassEndY', 'Angle', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,333946.0,20.475,32.912,,,,,,,,,,,,False,Boavista,Gil Vicente
2373745239.0,7.0,0.0,10.0,122.0,20.475,32.912,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Length', 'Zone', 'Angle']","[91, 117, 30, 36, 37, 215, 218]",True,405113.0,25.62,59.704,,,,,,,,,,,,False,Boavista,Gil Vicente
2373745313.0,8.0,0.0,14.0,122.0,25.305000000000003,62.15200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Chipped', 'Longball', 'PassEndX', 'PassEndY', 'Angle']","[91, 119, 117, 124, 127, 36, 38, 216, 218]",True,423077.0,68.985,58.82000000000001,,,,,,,,,,,,True,Boavista,Gil Vicente
2373745327.0,9.0,0.0,18.0,122.0,70.98,61.608000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Offensive', 'OppositeRelatedEvent', 'Zone']","[197, 199]",False,404198.0,,,,,,,,,,,,,,,Boavista,Gil Vicente
2373745319.0,3.0,0.0,18.0,290.0,34.02,6.392,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'Defensive']","[198, 200]",False,334129.0,,,,,,,,,,,,3.0,Lucas Cunha,,Boavista,Gil Vicente
2373745367.0,10.0,0.0,19.0,122.0,67.62,63.648,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Length', 'HeadPass', 'PassEndY', 'Angle', 'PassEndX']","[91, 120, 29, 139, 36, 37, 216, 218]",True,404198.0,68.985,63.784000000000006,,,,,,,,,,,,False,Boavista,Gil Vicente
2373745507.0,5.0,0.0,19.0,290.0,27.615000000000002,2.176,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,334129.0,,,,,,,,,,,,3.0,Lucas Cunha,,Boavista,Gil Vicente
2373745765.0,12.0,0.0,40.0,122.0,88.2,68.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndX', 'Zone', 'PassEndY', 'Angle', 'ThrowIn']","[91, 212, 36, 38, 217]",True,400992.0,91.35000000000001,49.776,,,,,,,,,,,,True,Boavista,Gil Vicente
2373745785.0,6.0,0.0,42.0,290.0,9.66,18.428,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Angle', 'PassEndX', 'Head', 'PassEndY', 'Zone', 'Length']","[91, 94, 95, 57, 215]",True,404281.0,23.205000000000002,10.336,,,,,,,,,,2.0,Zé Carlos,,Boavista,Gil Vicente
2373745835.0,13.0,0.0,43.0,122.0,82.635,54.53600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,423076.0,,,,,,,,,,,,,,,Boavista,Gil Vicente
2373745899.0,14.0,0.0,44.0,122.0,79.485,51.61200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Zone', 'PassEndY', 'Angle']","[91, 119, 117, 30, 35, 38, 216, 218]",True,318429.0,56.28,49.368,,,,,,,,,,,,False,Boavista,Gil Vicente
2373745975.0,15.0,0.0,47.0,122.0,56.80500000000001,45.356,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndY', 'Length', 'PassEndX']","[91, 119, 117, 30, 35, 38, 216, 218]",True,405113.0,54.6,23.528000000000002,,,,,,,,,,,,False,Boavista,Gil Vicente
