id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,firstName,lastName,teamColor,name,homeTeam,awayTeam,round,shortName
2442249835,AttemptSaved,9772,1137705,Enzo Fernandez,85.9235277731241,40.55357014653511,3,,True,True,93.2,38.200238096999996,35.9825,1.60526315,0.11129319667816162,,RightFoot,FreeKick,FirstHalf,False,"{'x': 0.47552910052910013, 'y': 0.424672791005291, 'zoomRatio': 1}",Enzo,Fernandez,#C00001,Benfica,Benfica,Arouca,1,
2442254001,Goal,9772,387499,Gilberto Junior,96.0263143160607,35.83000116348267,8,,False,True,,,35.525000000000006,1.2199999940000001,0.272293359041214,0.3334,Header,RegularPlay,FirstHalf,False,"{'x': 0.5965608465608451, 'y': 0.32275132116402117, 'zoomRatio': 1}",Gilberto,Junior,#C00001,Benfica,Benfica,Arouca,1,
2442258271,AttemptSaved,9772,300916,Joao Mário,98.4385950185607,36.89749941825867,14,,False,True,104.3362068966,34.1525,35.0675,0.9374736796,0.17877539992332458,0.0546,Header,RegularPlay,FirstHalf,False,"{'x': 0.7175925925925919, 'y': 0.24800890994708993, 'zoomRatio': 1}",Joao,Mário,#C00001,Benfica,Benfica,Arouca,1,
2442261411,Miss,9772,793066,David Neres,77.19175101133112,14.750827758628215,19,,False,False,,,42.46625,5.427586216,0.02903902530670166,,LeftFoot,FreeKick,FirstHalf,False,"{'x': 0, 'y': 0.6410850395393473, 'zoomRatio': 0.446478665288646}",David,Neres,#C00001,Benfica,Benfica,Arouca,1,
2442304599,AttemptSaved,158085,741103,Rafa Mujica,97.3771929818,34.22874941825867,20,,True,True,99.1140350876,34.305,34.4575,1.2199999940000001,0.3340981900691986,,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.8789682539682532, 'y': 0.32275132116402117, 'zoomRatio': 1}",Rafa,Mujica,#106098,Arouca,Benfica,Arouca,1,
2443602497,Miss,9772,1137705,Enzo Fernandez,75.84028954553443,42.697500882148745,23,,False,False,,,25.8228125,6.270482770400001,0.0264,,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.883183898396414, 'y': 0.6772486772486772, 'zoomRatio': 0.4082620260252617}",Enzo,Fernandez,#C00001,Benfica,Benfica,Arouca,1,
2443606317,Miss,9772,300916,Joao Mário,78.65582352553443,41.05785778423244,25,,False,False,,,36.36375,4.0980689704,0.0297,,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.6093656372283287, 'y': 0.6772486772486772, 'zoomRatio': 0.6246844595566009}",Joao,Mário,#C00001,Benfica,Benfica,Arouca,1,
2442271097,AttemptSaved,9772,793066,David Neres,91.0999984741211,24.839999470556435,32,,True,True,92.7,25.7071875,36.745000000000005,0.5329473658000001,0.07228845357894897,,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.2738095238095226, 'y': 0.14099136661375664, 'zoomRatio': 1}",David,Neres,#C00001,Benfica,Benfica,Arouca,1,
2442273631,Miss,9772,1053838,Morato,100.16379455075413,38.368333335,35,,False,False,,,42.00375,3.6201379344000006,0.16364026069641113,,Header,FromCorner,FirstHalf,False,"{'x': 0, 'y': 0.45230522372637855, 'zoomRatio': 0.4722786193971578}",,Morato,#C00001,Benfica,Benfica,Arouca,1,
2442277115,Post,9772,940087,Goncalo Ramos,97.7631593665393,34.07624883651734,42,,False,False,,,36.440000000000005,2.476,0.17952948808670044,,Header,RegularPlay,FirstHalf,False,"{'x': 0.3544973544973533, 'y': 0.655026455026455, 'zoomRatio': 1}",Goncalo,Ramos,#C00001,Benfica,Benfica,Arouca,1,
2442277139,Goal,9772,477023,Rafa Silva,102.72413648424586,36.2875,42,,False,True,,,35.75375,0.3659999982,0.7176198959350586,0.9513,Header,RegularPlay,FirstHalf,False,"{'x': 0.5360449735449745, 'y': 0.09682539634920634, 'zoomRatio': 1}",Rafa,Silva,#C00001,Benfica,Benfica,Arouca,1,
